Anno,Temperatura dell'aria (degC),Precipitazione totale (kg/m2),Precipitazione solida (kg/m2),Frazione di copertura nevosa (%),Equivalente in acqua della neve (kg/m2),Altezza neve (cm),Frazione precipitazione liquida (%),Frazione precipitazione solida (%)
1969,9.950261896264886,1077.430092571038,186.79313372724556,16.372783378888872,41.54097251562301,0.8579669606250201,86.8089997300634,13.191000269936588
1970,10.134095199318295,1056.2624863938156,189.49464701357215,16.191968655379796,40.31712551561707,0.8095896247958948,85.12972831306335,14.870271686936638
1971,9.972442265875097,1381.6349847061808,103.40816230624272,7.9789968852434425,10.621639314211833,0.17328914520254166,91.52828157661206,8.471718423387951
1972,9.59966059377814,1182.4692203723396,201.11684691391156,14.356665969000383,25.555444354689033,0.4780962515314582,84.34775523832894,15.652244761671056
1973,10.291612081237872,1014.9133341596306,103.63347046032204,8.176676325357143,12.72491101038618,0.2164801330365438,90.75235497502204,9.247645024977961
1974,9.421907425917075,983.129309647185,91.97755724292436,7.113897757288619,7.943515902858717,0.12662208609936026,87.82450864959203,12.175491350407954
1975,9.717408712761122,1176.255207919535,106.65844098460201,7.50366855664526,8.664378086823074,0.1359286994461645,88.25953125604156,11.740468743958443
1976,10.483369709525187,1009.2626649025882,65.63398243376322,4.741283708474962,5.697034042627571,0.09222680714164028,94.14833312957238,5.8516668704276285
1977,9.682037261604066,1082.7610122637795,98.01878721215975,7.318544440808542,8.753904360225546,0.13836515859238296,92.0078186568373,7.992181343162705
1978,9.78772955738522,1126.701511045337,110.97055227549349,9.459467818148857,14.393186860885379,0.2375886162271735,90.56865685940691,9.43134314059308
1979,9.535581250975062,1181.7363417742674,131.13922783122095,10.131833495253451,21.83238988990426,0.4281332612498043,89.28657831678346,10.713421683216533
1980,9.695318560472387,1016.1281379061724,198.55999772852897,20.98965830616297,72.59459133268703,1.6660768130503112,82.16559439400078,17.834405605999216
1981,10.374858762791709,844.1453095343801,95.92019419060979,6.703817082324432,7.09765691892724,0.11075078367327289,89.26908416734342,10.730915832656565
1982,10.645533210396527,1030.3901193082806,155.88231978570974,12.264996826591748,34.02836962932272,0.7358774240901416,87.14659360049194,12.853406399508051
1983,9.447143800568284,1079.5821755212883,200.67172054205207,15.773439530575459,41.45096814141318,0.844995468579765,86.7596248379741,13.240375162025897
1984,10.286414197454244,964.9389998604554,141.35052021618353,12.389563383358706,23.988009830033025,0.41191151724283603,86.4849936384236,13.515006361576406
1985,10.553319154765921,1231.8041846270028,159.76138840640297,11.310060605284216,27.64054063128222,0.5278500544255944,90.74929710258215,9.25070289741784
1986,9.815071951528276,900.5729364450631,166.31777845604108,14.921529184021196,29.497195788780626,0.5498833660663028,85.19599273231701,14.804007267682977
1987,11.457622010573587,900.669442981088,94.6703146174845,6.188675934262128,8.437750715235547,0.13593010496052643,91.48343033118414,8.516569668815862
1988,10.294183417198516,891.9391669782733,78.37479251723214,6.903788585388356,9.499316641202448,0.15673780807772622,89.73674804711517,10.263251952884838
1989,10.912944181580698,783.8028799347613,27.654704328606687,1.4871673675041615,1.4932833661059597,0.023239242963151302,93.0201352857426,6.979864714257388
1990,10.13450131956355,1025.2246026720604,135.27432569719213,11.753856584302483,24.178331895868457,0.4866539599758049,90.46165538619569,9.5383446138043
1991,10.224186444220612,971.1049476087837,90.42799928733811,8.513611148945849,11.184788942962982,0.1867874708810864,86.98820344458267,13.011796555417332
1992,10.815777280380294,785.140753776167,137.95091078724212,11.359310130497507,21.04838045486065,0.3529778315468533,80.54309243074572,19.456907569254273
1993,11.247320880660686,915.745218846291,118.62980952834646,8.935225924249266,12.091533685265915,0.1973065746173558,90.12426615338659,9.875733846613405
1994,10.411148609205563,986.9753320304346,184.2697261471519,11.898776189095573,25.496706255499827,0.4552753833433421,86.57718383910975,13.422816160890255
1995,10.217573827613478,873.0153563419635,78.18719116394074,6.400355012292681,7.960659231808129,0.12652580836557561,92.5953360556094,7.404663944390592
1996,10.40225067685256,981.3693970300992,111.30628137550833,7.709713241574204,10.841072406983935,0.18088477906622136,89.71495142772842,10.28504857227158
1997,11.27126091493551,980.2817278723165,144.27980744089612,8.19028034692916,12.293899338105646,0.20316686674897236,87.06760622622465,12.932393773775347
1998,10.241935065786683,1072.4629930746896,153.8921105511048,13.174769988343131,22.117929905420194,0.37618123389377867,85.27622579059398,14.723774209406017
1999,11.037886349308925,903.6500558397262,94.20997850005772,8.063264736598951,9.60626703291738,0.15080114966578387,89.39866560582222,10.601334394177771
2000,11.718056080697977,835.0729090216373,67.2122895323822,3.6107213034189605,3.8770332803596497,0.05966361615455513,91.73638313983558,8.26361686016441
2001,10.46914411705229,1003.5914265923623,102.6410242030427,11.354243258461999,23.740748234712232,0.4374909416184214,86.13557488195305,13.864425118046954
2002,11.276077438432774,970.4888560985265,124.81288934387509,11.885905313686395,28.942249762771535,0.5812008028240266,88.40878684041208,11.591213159587904
2003,10.32744571829422,1152.9633823811114,155.7576631808999,12.114443613650119,19.300216236123102,0.32436671269281786,86.35990365243968,13.640096347560311
2004,10.471591653218468,1219.3781860888744,241.65113675361064,18.629896293884922,77.09917366165818,1.6866582283552576,82.92553464570523,17.07446535429477
2005,10.344410843689891,1114.948154803249,164.78761800366684,14.6430113524936,27.685929852374045,0.5564700748705881,87.96896179136623,12.031038208633769
2006,11.603596767288982,662.9043170605921,49.94806742493054,3.5094906163256803,4.377331625198001,0.07091194759221636,93.25558646978885,6.7444135302111645
2007,10.731175346823724,987.655894423698,123.23968227516632,8.017986288942229,12.282789186010945,0.20649137671946863,89.67763444921412,10.322365550785861
2008,11.0197384378311,1328.6589210853801,153.54938826942694,12.445959906230136,19.904907512802126,0.33986953610371445,90.09858097813672,9.90141902186329
2009,10.649033756308645,1189.9547090816318,156.08115166570676,11.302036030099245,20.223755217897054,0.34736256741898086,89.28740768279381,10.712592317206193
2010,10.174276628236399,1053.8209700660148,146.12463797260372,11.73189438249281,19.080608598611807,0.3268198037589844,86.90619514776246,13.093804852237524
2011,11.525683722396844,712.3666323289727,131.58458040312837,10.943624105695122,36.34872944764263,0.6995914940633772,88.57471937808384,11.425280621916153
2012,10.928551493598581,1200.093112484213,111.62170002076624,9.703552113567763,13.78223474030053,0.22968845425176587,90.40401334086243,9.59598665913757
2013,11.111656796941185,1210.9116765035856,76.05379390257863,4.604096676326613,5.663362085766778,0.09042985703005085,94.56097042138316,5.43902957861683
2014,11.476563379124821,1110.8595916904592,174.99467915710167,12.543496604198845,31.052518426317004,0.6104437003837012,87.76788834569862,12.232111654301368
2015,11.610032364419903,1218.9700632008812,72.13860459855088,4.2679303217886835,6.057651062701498,0.10276184004067684,93.74019098978069,6.259809010219301
2016,11.614320390863625,922.5167053933287,139.15607679232804,9.881169723242504,28.213024609129338,0.5913186322099958,90.16102780686428,9.838972193135719
2017,11.166961722588477,1334.6929038912542,121.55446678450976,8.01634024236462,11.50969259161773,0.18227014772219063,93.68435153844189,6.315648461558106
2018,11.494808053660398,1168.0005008713595,101.29525686724358,8.956288569846286,16.219888623357956,0.2957059323313313,90.18365514619266,9.81634485380734
2019,12.053954236562186,1020.351878169336,49.32694315088863,2.384158353542735,2.776877789227743,0.043589451155578135,95.1083628157918,4.8916371842081885
2020,11.637059994028107,1053.0569014812022,119.69579797239044,9.07344202986602,17.25916594502011,0.3304694560518489,91.08613454029582,8.913865459704173
2021,11.98501994963596,908.5940198655338,101.38714503267296,7.636721240999492,12.050272826701088,0.2041507268022478,86.64892399086938,13.351076009130614
